jooq.advertisement.transcription,jooq.advertisement.id
"TWENTY DOLLARS REWARD.
Ranaway from the Subscriber, at Barnwell Court Hourt, on the 12th September, TENAH, a female servant, about 22 years of age, of the middle size, and rather light complected, tho' denominated a black.
Tenah was bought in this city in June last, at a sale of the estate of Vance's Negroes, and was taken into the country as a nurse for the summer season. As she has many connexions in this place, and a husband, (a free man, by the name of William Lewis,) living on Goose Creek, it is likely she is harboured in or about the two places; tho' some suspicion is entertained that she many have made her way towards Columbia in this State, where it is understood a former husband was taken and now resides. The above reward will be paid on her apprehension and delivery to the Master of the Work House, with proof that she is harboured either by a free person or slave; and Ten Dollars for her delivery at any jail in the State so that I can get her. WM. H. SMITH, 42 East-Bay.
November 7",00009a54-8ed0-44a3-8983-7534c5001172
"Was brought to the jail of the parish of St James, an American negro, who only speaks English, calls himself Frank, and says he belongs to Mr Rusler, of New Orleans.  Said negro is aged about 28 years, 5 feet 4 1-2 inches high, english measure, clothed in a white cotton shirt, and yellow pantaloons.  Parish of St James, 5th August 1828. 
CERISAY, Sheriff. ",0004f750-a4c5-44f7-a18b-1b0650f3c066
"COMMITTED to the Colleton Jail, as Runaway, on the 3d inst., a negro Man that calls his name Ben, says he belongs to Mr. Wm. J. Smith, residing near Santee; that Mr. Smith purchased him of a Mr. Gaillard, and that he formerly belonged to Paul S.H. Lee, Esq. Said Negro is 5 feet 1 or 2 inches high, thick set, and apparently 45 or 50 years of age. 
DANL MOORER, S.C.D.
Walterboro' Aug. 10th, 1835
Aug 13     6",0007e85a-fc21-4dcb-8c0f-362ed166e432
"$50 REWARD - Ran away from the subscriber, on Wednesday last, the negro boy DAVE or DAVID, about 28 years old, taking with him a Gold Lever Watch and three pair of new boots. He is about six feet high, and has been shot in the left hand. Fifty Dollars will be given for the delivery of the boy in any jail in the city, or One Hundred for the recovery of the boy and things he took away, with the conviction of the parties harboring him. This boy has been my house servant for eighteen months, and is always well dressed. JESSE HART",0008cb14-240f-4137-91fb-192a69d21c5a
"$300 REWARD.
STOLEN
From my plantation at Brown's Ferry, in Lamestone County, Ala. on Saturday the 22d of May 
A SMALL NEGRO BOY, 
ABOUT TWO YEARS OLD,
Of yellow complexion. Said negro is supposed to be taken off by some white person. One hundred dollars reward will be given for the child alone, and two hundred for the thief.
JOSHUA COX.
June 4, 1824",000cc730-6969-429f-9742-be756443c1a0
"Two Pistoles Reward Run away from the Subscriber on Monday the 5th of May, a Negro Man, named Hannaball, a likely black fellow, has a pert look, and when talking is always either laughing or smiling, he is about 5 feet 7 or 8 inches high, he walks proper and straight without limping, but if examined will find one of his feet stiff and scarce be able to bend it from his ankle to his toes, his apparell not well known but such as is common for slaves, his over jacket was light coloured fearnot, it is supposed he has travelled toward Duck-Creek and from thence either to Philadelphia or the Jerseys, and may endeavour to pass for a free man and sailor, as he has been used to go by water. Whoever takes up the said fellow, and secures him so that his Owner may have him again, shall have the above reward and reasonable charges if brought home paid by Emory Fuetter.",0016b508-7548-40a3-91df-feaf88593e8b
"$50 REWARD.
Ranaway on the 12th of Dec. last, a negro named PRINCE HARRIS, about 23 or 24 years old, 5 feet 6 inches high, jet black, low forehead, short face, high cheek bones, large eyes, full head of hair; is spare made, has an old scar over his right eye 11 inches in length; in walking he steps short and quick; he is a ship carpenter by trade, and worked a short time on the opposite side of the river with Messrs. Harrod & Hughes, and last with Captain Bailey. He was seen on Tuesday night last, the 28th ult., at the corner of Victory and Frenchman streets, and was in company with a colored steevedore named John Harris, who lives at the corner of Frenchman and Love streets, and who it is supposed harbors and employs him. PRINCE is from Savannah, Geo., and has been but three months in this city.
Captains of steamboats and vessels are cautioned not to employ or carry away the said slave, as the law will be rigidly enforced against them. An additional reward of 25 dollars will be paid on proof of his being harbored or employed by any person. The above reward will be paid on his being lodged in any of the city prisons. Apply at No. 66 Esplanade street.
feb 2  1wis",001d5b9f-9f89-4199-8211-0c65d295b6bb
"RUNAWAY slave detained in the Police Jail of Donaldson, a negro man who says his name is Isaac about, 28 or 30 years of age; 5 feet 6 inches high; well made, speaks english only; has an iron ring on each leg; says he belongs to James Gardner of New Orleans. The owner is requested to comply with the law and take him away.
oct 1 -3t                                                                                                                            JAS TALBERT Jailor,",0024bb2a-bb32-48b7-af30-ec56fc98b268
"New-York, January 11, 1768. Run away about 2 Months ago, a French Negro Man, named John Baptist, speaks French, and broken English, pitted with the Small Pox, fat Nose, square built, about 5 feet 6 Inches high, his little Finger of his Left Hand, stiff and straight, his Age about 45 or 50 Years: He has Holes in each Ear for Earing. Whoever takes up said Negro, and tends Word to the Subscriber, shall have FORTY SHILLINGS Reward, and all Charges paid by WILLIAM DARLINGTON.",0025e1c2-aba6-448f-8fdf-6fb0698559f2
"$25 REWARD.--Ranaway from the subscriber on Sunday, the 15th of June instant, the mulatto fellow NED, about 5 feet 6 inches high, French measure, yellowish skin ; has some scars on his neck. It is supposed he will be dressed in white. The above reward will be given to any person who will apprehend him, bring him back to the subscriber, or lodge him in Jail
Captains of vessels, steamboats, and others, are cautioned against harbouring said slave under penalty of the laws. [June 17] Stephen Mazureau.
",00269d18-13ce-49bc-8a29-9c957f3ac9e9
